occupation,preffered_label,esco_code
flight officer,air force officer,0110.1
military group captain,air force officer,0110.1
air commodore,air force officer,0110.1
flight lieutenant,air force officer,0110.1
royal airforce officer,air force officer,0110.1
pilot officer,air force officer,0110.1
squadron leader,air force officer,0110.1
air force officer,air force officer,0110.1
command and control officer,air force officer,0110.1
armed forces lieutenant,lieutenant,0110.10
police lieutenant,lieutenant,0110.10
lieutenant,lieutenant,0110.10
ship-of-the-line ensign,navy officer,0110.11
navy officer,navy officer,0110.11
sub-lieutenant,navy officer,0110.11
midshipman,navy officer,0110.11
air force squadron leader,squadron leader,0110.12
squadron commander,squadron leader,0110.12
air force commandant,squadron leader,0110.12
air force squadron team leader,squadron leader,0110.12
squadron leader,squadron leader,0110.12
captain,armed forces officer,0110.2
lieutenant,armed forces officer,0110.2
military officer,armed forces officer,0110.2
brigadier,armed forces officer,0110.2
lieutenant colonel,armed forces officer,0110.2
navy officer,armed forces officer,0110.2
Royal Marines officer,armed forces officer,0110.2
army officer,armed forces officer,0110.2
naval officer,armed forces officer,0110.2
air force officer,armed forces officer,0110.2
colonel,armed forces officer,0110.2
Royal Navy officer,armed forces officer,0110.2
major general,armed forces officer,0110.2
RAF officer,armed forces officer,0110.2
Roal Air Force officer,armed forces officer,0110.2
officer cadet,armed forces officer,0110.2
second lieutenant,armed forces officer,0110.2
general,armed forces officer,0110.2
lieutenant general,armed forces officer,0110.2
major,armed forces officer,0110.2
armed forces officer,armed forces officer,0110.2
battery commander,army captain,0110.3
armed forces captain,army captain,0110.3
armed services captain,army captain,0110.3
army chief officer,army captain,0110.3
troop commander,army captain,0110.3
captain armed services,army captain,0110.3
army captain,army captain,0110.3
captain royal marines,army captain,0110.3
company commander,army captain,0110.3
captain armed forces,army captain,0110.3
armed forces general,army general,0110.4
general military,army general,0110.4
major general,army general,0110.4
military general,army general,0110.4
army general,army general,0110.4
lieutenant general,army general,0110.4
general,army general,0110.4
major,army major,0110.5
military major,army major,0110.5
lieutenant commander,army major,0110.5
armed forces major,army major,0110.5
army commandant,army major,0110.5
battalion commandant,army major,0110.5
army major,army major,0110.5
infantry officer,artillery officer,0110.6
gunner,artillery officer,0110.6
artillery technician,artillery officer,0110.6
artillery officer,artillery officer,0110.6
munitions officer,artillery officer,0110.6
brigadier general,brigadier,0110.7
army brigadier,brigadier,0110.7
military brigadier,brigadier,0110.7
brigadier,brigadier,0110.7
field officer,brigadier,0110.7
director of staff,brigadier,0110.7
battalion commander,colonel,0110.8
lieutenant colonel,colonel,0110.8
wing commander,colonel,0110.8
colonel,colonel,0110.8
fleet commander,fleet commander,0110.9
deputy chief of naval staff,fleet commander,0110.9
navy commander,fleet commander,0110.9
commander of fleet,fleet commander,0110.9
naval commander,fleet commander,0110.9
royal navy commander,fleet commander,0110.9
special forces corporal,army corporal,0210.1
army corporal,army corporal,0210.1
armed forces corporal,army corporal,0210.1
regimental corporal,army corporal,0210.1
corporal,army corporal,0210.1
lance corporal,army corporal,0210.1
batallion corporal,army corporal,0210.1
master corporal,army corporal,0210.1
royal marines corporal,army corporal,0210.1
lance sergeant,sergeant,0210.2
warrant officer,sergeant,0210.2
ordnance sergeants,sergeant,0210.2
commissary sergeant,sergeant,0210.2
adjutant,sergeant,0210.2
army sargeant,sergeant,0210.2
quartermaster sergeant,sergeant,0210.2
police sargeant,sergeant,0210.2
petty officer,sergeant,0210.2
staff sergeant,sergeant,0210.2
chief petty officer,sergeant,0210.2
chief non-commissioned officer,sergeant,0210.2
colour sergeant,sergeant,0210.2
station sergeant,sergeant,0210.2
sergeant,sergeant,0210.2
drill sergeant,sergeant,0210.2
airborne operations officer,special forces officer,0210.3
air force officer,special forces officer,0210.3
counter-insurgency officer,special forces officer,0210.3
rapid response operative,special forces officer,0210.3
special forces officer,special forces officer,0210.3
commando,special forces officer,0210.3
counter-terrorism officer,special forces officer,0210.3
marine,special forces officer,0210.3
unconventional warfare officer,special forces officer,0210.3
electronic warfare specialist,warfare specialist,0210.4
warfare specialist,warfare specialist,0210.4
electronic warfare operator,warfare specialist,0210.4
defence analyst,warfare specialist,0210.4
defence specialist,warfare specialist,0210.4
surveillance operator,warfare specialist,0210.4
armed forces pilot,air force pilot,0310.1
navy pilot,air force pilot,0310.1
aircrew pilot,air force pilot,0310.1
naval pilot,air force pilot,0310.1
air force pilot,air force pilot,0310.1
military pilot,air force pilot,0310.1
military aircraft driver,air force pilot,0310.1
bomb disposal expert,bomb disposal technician,0310.2
bomb disposal officer,bomb disposal technician,0310.2
ordnance technician,bomb disposal technician,0310.2
minesweeper,bomb disposal technician,0310.2
mine disposal technician,bomb disposal technician,0310.2
