String , County ,EQF_level
Doctorate – Bologna 3rd cycle - Qualification type A*,Kosovo,8.0
Master – Bologna 2nd cycle - Qualification type A*,Kosovo,7.0
Bachelor – Bologna 1st cycle - Qualification type A*,Kosovo,6.0
"Higher Education Qualifications, type (A)",Kosovo,6.0
"General Education Qualifications, type (B) ",Kosovo,6.0
"Combined National Qualifications, type (C)",Kosovo,6.0
"National Professional Qualifications, type (D)",Kosovo,6.0
"Qualifications Based on International Standards, type (E) ",Kosovo,6.0
"Customized Qualifications, type (F)",Kosovo,6.0
Bologna Short-cycle - Diploma Level V - Qualification type A *,Kosovo,5.0
"Post-secodary VET Diploma Level V - Qualification type C, D, E*",Kosovo,5.0
"Post-secondary VET Certificate Level V - Qualification type D, E *",Kosovo,5.0
High secondary General education Diploma - Qualification type B*,Kosovo,4.0
"High secondary VET Diploma - Qualification type C, D*",Kosovo,4.0
"VET Certifikate - Qualification type D, E, F*",Kosovo,4.0
"High secondary VET Certifikate - Level 3 (two year seconday education) - Qualification type C, D*",Kosovo,3.0
"VET Certifikate Level 3 - Qualification type D, E, F*",Kosovo,3.0
Lower secodary education Diploma - Qualification type B*,Kosovo,2.0
"VET Certifikate Level 2 - Qualification type D, E, F*",Kosovo,2.0
Primary education Diploma - Qualification type B*,Kosovo,1.0
"VET Certifikate Level 1 - Qualification type D, E, F*",Kosovo,1.0
Doctor's diploma,Latvia,8.0
Professional Doctor's diploma in arts,Latvia,8.0
Doctor's degree in Management Science,Latvia,8.0
Master's diploma,Latvia,7.0
Professional Master's diploma,Latvia,7.0
"Diploma of professional higher education, diploma of higher professional qualification (total lenght of full-time studies – at least 5 years)",Latvia,7.0
Diploma of professional higher education with professional qualification Veterinarian,Latvia,7.0
Master's Degree of Natural Sciences in Computer Science,Latvia,7.0
"Professional Master's Degree in Education, Basic Education English Language Teacher",Latvia,7.0
Bachelor's diploma (bakalaura diploms),Latvia,6.0
Professional Bachelor's diploma (profesionālā bakalaura diploms),,
